"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0489","P0489",-18.326619,-45.003445,"TM0159","Fish_Cerrado_MG",11,89,"P0489",2011,35.66431317,37.67770315,0,0,8,26
"P0499","P0499",-19.181316,-45.446763,"TM0290","Fish_Cerrado_MG",7,86,"P0499",2011,71.14262819,84.79188501,1,26,26,26
"P0507","P0507",-19.148292,-45.436062,"TM6757","Fish_Cerrado_MG",0,86,"P0507",2011,71.14262819,88.87053479,1,26,26,26
"P0511","P0511",-19.788006,-47.722379,"VG0018","Fish_Cerrado_MG",2,80,"P0511",2011,86.45351689,96.30492676,26,26,26,26
"P0513","P0513",-19.833332,-47.669734,"VG0022","Fish_Cerrado_MG",3,80,"P0513",2011,86.45351689,81.06060606,26,26,26,26
"P0514","P0514",-19.751954,-47.820348,"VG0034","Fish_Cerrado_MG",5,80,"P0514",2011,86.45351689,95.46005892,26,26,26,26
"P0518","P0518",-19.855153,-47.818215,"VG0109","Fish_Cerrado_MG",4,80,"P0518",2011,86.45351689,91.67533819,26,26,26,26
"P0527","P0527",-19.753246,-47.792154,"VG0210","Fish_Cerrado_MG",11,80,"P0527",2011,86.45351689,76.35765804,26,26,26,26
"P0536","P0536",-19.785872,-47.786184,"VG0418","Fish_Cerrado_MG",7,80,"P0536",2011,86.45351689,85.29123358,26,26,26,26
"P0547","P0547",-22.94919,-55.59873,"AM2","Fish_Cerrado_MS",3,34,"P0547",2000,85.02363134,98.52,15,15,15,15
"P0548","P0548",-23.05401,-55.58702,"AM3","Fish_Cerrado_MS",9,34,"P0548",2000,85.02363134,97.59,15,15,15,15
"P0549","P0549",-23.14588,-55.17215,"AM4","Fish_Cerrado_MS",9,33,"P0549",2000,88.72728226,94.4,15,15,15,15
"P0553","P0553",-23.07698,-54.15405,"AM8","Fish_Cerrado_MS",5,25,"P0553",2000,75.97000097,98.58,15,15,15,15
"P0555","P0555",-22.77628,-54.99106,"AM10","Fish_Cerrado_MS",8,32,"P0555",2000,84.62286802,81.71,15,15,15,15
"P0556","P0556",-22.64717,-54.82694,"AM11","Fish_Cerrado_MS",3,31,"P0556",2000,95.9368264,97.68,15,15,15,15
"P0559","P0559",-23.21651,-54.02581,"AM14","Fish_Cerrado_MS",14,25,"P0559",2000,75.97000097,89.36,15,15,15,15
"P0561","P0561",-22.84408,-54.82436,"AM16","Fish_Cerrado_MS",9,32,"P0561",2000,84.62286802,97.73,15,15,15,15
"P0562","P0562",-22.80231,-54.54893,"AM17","Fish_Cerrado_MS",8,27,"P0562",2000,86.95598967,86.61,15,15,15,15
"P0564","P0564",-23.0429,-54.51001,"AM19","Fish_Cerrado_MS",6,27,"P0564",2000,86.95598967,96.45,15,15,15,15
"P0569","P0569",-22.73446,-54.71685,"AM25","Fish_Cerrado_MS",6,31,"P0569",2000,95.9368264,98.42,15,15,15,15
"P0573","P0573",-23.17932,-55.53846,"AM29","Fish_Cerrado_MS",2,34,"P0573",2000,85.02363134,100,15,15,15,15
